TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
31-07-2025,31-07-2025,CM,NSE,STK,11860,INE789E01012,JKPAPER,EQ,,,,,JK PAPER LIMITED,351.9,362.4,347,358.8,356.1,354,,358.75,,,309909,110258306.8,11255,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,14435,INE573A01042,JKTYRE,EQ,,,,,JK TYRE & INDUSTRIES LTD,335,339.4,331.55,335.05,335.05,341.65,,335.05,,,282373,94956245.4,12713,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,15266,INE576I01022,JKIL,EQ,,,,,JKUMAR INFR.LTD.,701,710.9,695,704.25,707,707.15,,704.25,,,139384,98250305.35,8443,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,13637,INE780C01023,JMFINANCIL,EQ,,,,,JM FINANCIAL LIMITED,155.2,160.54,154.91,157.83,157.35,157.01,,157.84,,,4139160,656512760.5,32493,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,23621,INE0OAF01028,JNKINDIA,EQ,,,,,JNK INDIA LIMITED,329,332.2,320.25,322,322,329.4,,322,,,91499,29939950.9,2362,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,16927,INE839G01010,JOCIL,EQ,,,,,JOCIL LIMITED,159,163.04,155.5,157.36,157,159.05,,157.36,,,5784,909013.48,227,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,4491,INE782A01015,JCHAC,EQ,,,,,JOHNSON CONTROLS HITACHI,1763.8,1763.8,1741.1,1743.2,1751.6,1764.2,,1743.2,,,7167,12510018.6,1251,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,17869,INE121E01018,JSWENERGY,EQ,,,,,JSW ENERGY LIMITED,520.05,523.8,512.1,515.05,517.75,526.5,,515.05,,,1946308,1010253955,36063,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,11883,INE824G01012,JSWHL,BE,,,,,JSW HOLDINGS LIMITED,20660,20850,19650,19805,19950,20660,,19820,,,1481,29667380,690,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,19020,INE880J01026,JSWINFRA,EQ,,,,,JSW INFRASTRUCTURE LTD,301.55,309.8,301.3,304.75,305.5,306.05,,304.75,,,948230,290075417.3,17818,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,11723,INE019A01038,JSWSTEEL,EQ,,,,,JSW STEEL LIMITED,1018,1058.6,1018,1048.3,1057.9,1037.9,,1048.3,,,3144726,3298961942,70138,F1,1,,,,,
