Index,priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,Yesterday Vol,,change%
NIFTY TOTAL MARKET,0,ICIL,ICILEQN,268.65,274.95,259.6,264,271.35,-7.35,-2.71,20877258139,438.9,213.55,180521,0,47885000.46,,39.84962406,-23.62444392,-31.8,31-Jul-24,https://nsearchives.nseindia.com/365d/ICIL-EQ.svg,01-Jul-25,-7.4,704055,-523534,-74.36%
NIFTY TOTAL MARKET,0,HCG,HCGEQN,622.05,637.65,603.1,605.05,622.05,-17,-2.73,24186275585,639,349,415547,0,257443832.9,,5.312989045,-73.36676218,76.14,31-Jul-24,https://nsearchives.nseindia.com/365d/HCG-EQ.svg,01-Jul-25,15.55,259567,155980,60.09%
NIFTY TOTAL MARKET,0,DEEPAKFERT,DEEPAKFERTEQN,1600,1606.6,1552,1555,1598.8,-43.8,-2.74,1.04E+11,1778.6,888.9,198098,0,312022178.8,,12.5716856,-74.93531331,71.91,31-Jul-24,https://nsearchives.nseindia.com/365d/DEEPAKFERT-EQ.svg,01-Jul-25,-8.3,482920,-284822,-58.98%
NIFTY TOTAL MARKET,0,INDIAGLYCO,INDIAGLYCOEQN,1712.2,1738.9,1658.3,1665,1712.2,-47.2,-2.76,19388756508,2138,1007.05,87668,0,148406143.8,,22.12347989,-65.33439253,41.5,31-Jul-24,https://nsearchives.nseindia.com/365d/INDIAGLYCO-EQ.svg,01-Jul-25,-15.56,75243,12425,16.51%
NIFTY TOTAL MARKET,0,UNIMECH,UNIMECHBEN,1159.8,1159.8,1120,1125.1,1157,-31.9,-2.76,7166231900,1523.75,850,60756,0,69652501.08,,26.16242822,-32.36470588,-,-,-,01-Jul-25,-11.88,15887,44869,282.43%
NIFTY TOTAL MARKET,0,IDBI,IDBIEQN,92.65,93.15,89.5,90.09,92.67,-2.58,-2.78,50358970530,106.32,65.89,4360784,0,398968128.2,,15.26523702,-36.7278798,-10.62,31-Jul-24,https://nsearchives.nseindia.com/365d/IDBI-EQ.svg,01-Jul-25,-11.62,3998736,362048,9.05%
NIFTY TOTAL MARKET,0,PFIZER,PFIZEREQN,5246,5246,5025,5050,5194.5,-144.5,-2.78,76372821511,6451.15,3701,14853,0,75813276.72,,21.71938337,-36.44960821,-8.07,31-Jul-24,https://nsearchives.nseindia.com/365d/PFIZER-EQ.svg,01-Jul-25,-8.84,15338,-485,-3.16%
NIFTY TOTAL MARKET,0,TIRUMALCHM,TIRUMALCHMEQN,299,302.9,290.05,290.7,299,-8.3,-2.78,17014154549,394.95,201.27,184708,0,54354023.16,,26.3957463,-44.43285139,-13.22,31-Jul-24,https://nsearchives.nseindia.com/365d/TIRUMALCHM-EQ.svg,01-Jul-25,2.61,376380,-191672,-50.93%
NIFTY TOTAL MARKET,0,CEATLTD,CEATLTDEQN,3310,3334,3220,3221,3313.3,-92.3,-2.79,67648781511,4044,2343.05,55695,0,182583247.7,,20.35113749,-37.47039116,23.22,31-Jul-24,https://nsearchives.nseindia.com/365d/CEATLTD-EQ.svg,01-Jul-25,-9.36,110763,-55068,-49.72%
NIFTY TOTAL MARKET,0,EIEL,EIELEQN,253.45,257.7,245,245.8,252.89,-7.1,-2.81,11746257701,391.6,182,2153649,0,540824336.9,,37.23186925,-35.05494505,-,-,-,01-Jul-25,4.01,2566164,-412515,-16.08%
NIFTY TOTAL MARKET,0,ABSLAMC,ABSLAMCEQN,855,858.95,831.95,834.1,858.2,-24.1,-2.81,60336522218,911.85,556.45,167256,0,140804463.6,,8.526621703,-49.89666637,21.46,31-Jul-24,https://nsearchives.nseindia.com/365d/ABSLAMC-EQ.svg,01-Jul-25,8.55,229589,-62333,-27.15%
NIFTY TOTAL MARKET,0,SEQUENT,SEQUENTEQN,171,172.62,167.13,167.13,171.97,-4.84,-2.81,19755171614,240.7,117.35,208305,0,35476424.55,,30.5650187,-42.42011078,20.44,31-Jul-24,https://nsearchives.nseindia.com/365d/SEQUENT-EQ.svg,01-Jul-25,-8.3,363267,-154962,-42.66%
NIFTY TOTAL MARKET,0,RALLIS,RALLISEQN,376.45,385,362.2,365.8,376.45,-10.65,-2.83,31327402147,385.9,196,1608355,0,603068790.8,,5.208603265,-86.63265306,13.85,31-Jul-24,https://nsearchives.nseindia.com/365d/RALLIS-EQ.svg,01-Jul-25,15.32,1030941,577414,56.01%
NIFTY TOTAL MARKET,0,EPIGRAL,EPIGRALEQN,2015,2052,1944.2,1962,2019.2,-57.2,-2.83,26231552771,2406.75,1502.35,85028,0,169438696.7,,18.47927703,-30.59540054,17.04,31-Jul-24,https://nsearchives.nseindia.com/365d/EPIGRAL-EQ.svg,01-Jul-25,10.05,108720,-23692,-21.79%
NIFTY TOTAL MARKET,0,KSL,KSLEQN,889.05,897.15,860.7,864.85,890.05,-25.2,-2.83,13140166359,1277,666.5,42818,0,37568513.2,,32.27486296,-29.75993998,-0.06,31-Jul-24,https://nsearchives.nseindia.com/365d/KSL-EQ.svg,01-Jul-25,-6.25,249891,-207073,-82.87%
