Index,priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,Yesterday Vol,,change%
NIFTY 50,0,TRENT,TRENTEQN,5034,5275.5,5005,5179,5018,161,3.21,1.15E+12,8345,4488,2034517,0,10539245654,,37.93888556,-15.39661319,-14.06,31-Jul-24,https://nsearchives.nseindia.com/365d/TRENT-EQ.svg,01-Jul-25,-18.33,752111,1282406,170.51%
NIFTY 50,0,EICHERMOT,EICHERMOTEQN,5551,5670,5475,5518,5468.5,119.5,2.21,7.57E+11,5906.5,4508.75,1408773,0,7853585457,,6.577499365,-22.38425284,10.19,31-Jul-24,https://nsearchives.nseindia.com/365d/EICHERMOT-EQ.svg,01-Jul-25,-4.32,307018,1101755,358.86%
NIFTY 50,0,ASIANPAINT,ASIANPAINTEQN,2378,2472,2378,2434,2396.1,37.9,1.58,1.10E+12,3394.9,2124.75,2225293,0,5444490866,,28.30422104,-14.55465349,-22.32,31-Jul-24,https://nsearchives.nseindia.com/365d/ASIANPAINT-EQ.svg,01-Jul-25,1.12,1274735,950558,74.57%
NIFTY 50,0,HINDUNILVR,HINDUNILVREQN,2550,2727.5,2536.9,2554,2521.2,32.8,1.3,2.26E+12,3035,2136,4259653,0,11014823710,,15.84843493,-19.56928839,-6.82,31-Jul-24,https://nsearchives.nseindia.com/365d/HINDUNILVR-EQ.svg,01-Jul-25,9.83,5505507,-1245854,-22.63%
NIFTY 50,0,NESTLEIND,NESTLEINDEQN,2247.7,2287.7,2243.1,2274.7,2247.7,27,1.2,8.13E+11,2778,2110,705012,0,1605509727,,18.11735061,-7.805687204,-8.49,31-Jul-24,https://nsearchives.nseindia.com/365d/NESTLEIND-EQ.svg,01-Jul-25,-6.74,673109,31903,4.74%
NIFTY 50,0,ITC,ITCEQN,412.4,419.35,411.8,416.6,411.95,4.65,1.13,3.87E+12,528.5,390.15,14324065,0,5966546035,,21.1731315,-6.779443804,-16.84,31-Jul-24,https://nsearchives.nseindia.com/365d/ITC-EQ.svg,01-Jul-25,-0.76,19364174,-5040109,-26.03%
NIFTY 50,0,HEROMOTOCO,HEROMOTOCOEQN,4255.1,4322,4240,4309,4260.7,48.3,1.13,5.58E+11,6246.25,3344,473918,0,2037255003,,31.01460877,-28.8576555,-22.37,31-Jul-24,https://nsearchives.nseindia.com/365d/HEROMOTOCO-EQ.svg,01-Jul-25,0.82,446590,27328,6.12%
NIFTY 50,0,KOTAKBANK,KOTAKBANKEQN,1983,2007,1972.1,1995.9,1978.6,17.3,0.87,2.93E+12,2301.9,1679.05,2672373,0,5329460026,,13.29336635,-18.87079003,9.44,31-Jul-24,https://nsearchives.nseindia.com/365d/KOTAKBANK-EQ.svg,01-Jul-25,-9.39,4303918,-1631545,-37.91%
NIFTY 50,0,BAJAJ-AUTO,BAJAJ-AUTOEQN,8008,8091,7951.5,8055,8008,47,0.59,8.90E+11,12774,7089.35,329818,0,2650156892,,36.9422264,-13.62113593,-17.14,31-Jul-24,https://nsearchives.nseindia.com/365d/BAJAJ-AUTO-EQ.svg,01-Jul-25,-4.66,297025,32793,11.04%
NIFTY 50,0,RELIANCE,RELIANCEEQN,1386.9,1405.9,1384.3,1394.1,1390.2,3.9,0.28,9.42E+12,1551,1114.85,10321171,0,14423423626,,10.11605416,-25.04821276,-53.83,31-Jul-24,https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg,01-Jul-25,-9.04,17065827,-6744656,-39.52%
NIFTY 50,0,JIOFIN,JIOFINEQN,329.95,332.7,326,329.85,329.25,0.6,0.18,1.08E+12,363,198.65,19635750,0,6480190215,,9.132231405,-66.04580921,0.23,31-Jul-24,https://nsearchives.nseindia.com/365d/JIOFIN-EQ.svg,01-Jul-25,-0.11,49292436,-29656686,-60.16%
NIFTY 50,0,HDFCBANK,HDFCBANKEQN,2014,2028.3,2009.3,2016.9,2018.2,-1.3,-0.06,1.53E+13,2037.7,1593.3,5658629,0,11403438920,,1.020758699,-26.58633026,24.91,31-Jul-24,https://nsearchives.nseindia.com/365d/HDFCBANK-EQ.svg,01-Jul-25,0.3,11091516,-5432887,-48.98%
NIFTY 50,0,POWERGRID,POWERGRIDEQN,291.65,292.8,286.3,290.5,291,-0.5,-0.17,1.31E+12,366.25,247.3,6697683,0,1943734583,,20.68259386,-17.46866154,-16.43,31-Jul-24,https://nsearchives.nseindia.com/365d/POWERGRID-EQ.svg,01-Jul-25,-2.2,14283621,-7585938,-53.11%
NIFTY 50,0,TATACONSUM,TATACONSUMEQN,1067.1,1089.9,1067,1069,1073.2,-4.2,-0.39,6.94E+11,1234.3,882.9,1040166,0,1119395444,,13.39220611,-21.07826481,-9.74,31-Jul-24,https://nsearchives.nseindia.com/365d/TATACONSUM-EQ.svg,01-Jul-25,-2.04,1114320,-74154,-6.65%
NIFTY 50,0,SBIN,SBINEQN,795.7,801,792,792.95,796.55,-3.6,-0.45,3.14E+12,881.4,680,15468391,0,12304950357,,10.03517132,-16.61029412,-8.69,31-Jul-24,https://nsearchives.nseindia.com/365d/SBIN-EQ.svg,01-Jul-25,-2.9,11359112,4109279,36.18%
NIFTY 50,0,BAJFINANCE,BAJFINANCEEQN,884.8,895.85,873,877,881.2,-4.2,-0.48,2.32E+12,978.8,642.5,5300299,0,4682125128,,10.4004904,-36.49805447,-87.05,31-Jul-24,https://nsearchives.nseindia.com/365d/BAJFINANCE-EQ.svg,01-Jul-25,-5.92,6999179,-1698880,-24.27%
NIFTY 50,0,GRASIM,GRASIMEQN,2748,2766.5,2716,2731.6,2746.4,-14.8,-0.54,1.04E+12,2896,2276.95,329586,0,903685261.7,,5.67679558,-19.96750038,-1.09,31-Jul-24,https://nsearchives.nseindia.com/365d/GRASIM-EQ.svg,01-Jul-25,-3.57,581498,-251912,-43.32%
NIFTY 50,0,AXISBANK,AXISBANKEQN,1065,1070.9,1060,1061.5,1068.4,-6.9,-0.65,3.03E+12,1281.65,933.5,5545447,0,5910725594,,17.17707642,-13.71183717,-8.38,31-Jul-24,https://nsearchives.nseindia.com/365d/AXISBANK-EQ.svg,01-Jul-25,-8.94,7634413,-2088966,-27.36%
NIFTY 50,0,ICICIBANK,ICICIBANKEQN,1480.4,1485.1,1469.8,1470.1,1481.4,-11.3,-0.76,1.05E+13,1500,1153,4416771,0,6513633032,,1.993333333,-27.50216826,21.94,31-Jul-24,https://nsearchives.nseindia.com/365d/ICICIBANK-EQ.svg,01-Jul-25,3.45,12406146,-7989375,-64.40%
NIFTY 50,0,COALINDIA,COALINDIAEQN,375,381.15,370.7,372.8,376.35,-3.55,-0.94,8.44E+11,543.55,349.25,13769152,0,5165084298,,31.41385337,-6.743020759,-27.93,31-Jul-24,https://nsearchives.nseindia.com/365d/COALINDIA-EQ.svg,01-Jul-25,-3.44,6461803,7307349,113.09%
NIFTY 50,0,NTPC,NTPCEQN,333,334.75,330.2,331.05,334.25,-3.2,-0.96,1.57E+12,448.45,292.8,7107542,0,2362191584,,26.17906121,-13.06352459,-19.65,31-Jul-24,https://nsearchives.nseindia.com/365d/NTPC-EQ.svg,01-Jul-25,0.5,8935384,-1827842,-20.46%
NIFTY 50,0,ULTRACEMCO,ULTRACEMCOEQN,12181,12289,12075,12124,12249,-125,-1.02,1.44E+12,12714,10047.85,212570,0,2586719690,,4.64055372,-20.66262932,3.04,31-Jul-24,https://nsearchives.nseindia.com/365d/ULTRACEMCO-EQ.svg,01-Jul-25,0.32,150379,62191,41.36%
NIFTY 50,0,TITAN,TITANEQN,3340,3347.3,3307,3313,3347.3,-34.3,-1.02,1.36E+12,3867,2925,422977,0,1406791894,,14.32635118,-13.26495726,-3.23,31-Jul-24,https://nsearchives.nseindia.com/365d/TITAN-EQ.svg,01-Jul-25,-9.54,553157,-130180,-23.53%
NIFTY 50,0,ETERNAL,ETERNALEQN,309.8,310.45,303.95,304.6,307.8,-3.2,-1.04,2.11E+12,314.45,194.8,16415906,0,5021789804,,3.13245349,-56.36550308,-,-,-,01-Jul-25,17.93,32474675,-16058769,-49.45%
NIFTY 50,0,LT,LTEQN,3636,3636,3578.1,3595.2,3636.5,-41.3,-1.14,4.21E+12,3963.5,2965.3,1205945,0,4344537457,,9.292292166,-21.24237008,-4.68,31-Jul-24,https://nsearchives.nseindia.com/365d/LT-EQ.svg,01-Jul-25,-0.82,1927627,-721682,-37.44%
NIFTY 50,0,TCS,TCSEQN,3029.9,3036.8,3000,3001.1,3036.8,-35.7,-1.18,3.06E+12,4592.25,3000,2053847,0,6189843012,,34.64859274,-0.036666667,-30.75,31-Jul-24,https://nsearchives.nseindia.com/365d/TCS-EQ.svg,01-Jul-25,-11.46,2968371,-914524,-30.81%
NIFTY 50,0,M&M,M&MEQN,3205,3205,3116.7,3165,3203.1,-38.1,-1.19,2.79E+12,3303,2425,3781457,0,11952278027,,4.178019982,-30.51546392,10.16,31-Jul-24,https://nsearchives.nseindia.com/365d/M&M-EQ.svg,01-Jul-25,0.85,4465859,-684402,-15.33%
NIFTY 50,0,HCLTECH,HCLTECHEQN,1465,1466.9,1450,1450.2,1467.9,-17.7,-1.21,1.53E+12,2012.2,1302.75,2152783,0,3133913852,,27.92962926,-11.318365,-10.64,31-Jul-24,https://nsearchives.nseindia.com/365d/HCLTECH-EQ.svg,01-Jul-25,-14.57,2306285,-153502,-6.66%
NIFTY 50,0,HINDALCO,HINDALCOEQN,680,683.3,670.85,674.35,683.05,-8.7,-1.27,9.74E+11,772.65,546.45,3475656,0,2347458062,,12.72244872,-23.40561808,2.01,31-Jul-24,https://nsearchives.nseindia.com/365d/HINDALCO-EQ.svg,01-Jul-25,-1.62,6136890,-2661234,-43.36%
NIFTY 50,0,BAJAJFINSV,BAJAJFINSVEQN,1945,1977.9,1911.2,1920,1948,-28,-1.44,1.04E+12,2135,1523.25,836974,0,1627228111,,10.07025761,-26.04628262,17.94,31-Jul-24,https://nsearchives.nseindia.com/365d/BAJAJFINSV-EQ.svg,01-Jul-25,-5.15,985553,-148579,-15.08%
NIFTY 50,0,BEL,BELEQN,383.1,383.5,376.2,377.25,383.1,-5.85,-1.53,1.35E+12,436,240.25,8702605,0,3304901275,,13.47477064,-57.0239334,21.21,31-Jul-24,https://nsearchives.nseindia.com/365d/BEL-EQ.svg,01-Jul-25,-11.37,9702316,-999711,-10.30%
NIFTY 50,0,MARUTI,MARUTIEQN,12521,12779,12273,12275,12608,-198,-1.59,1.61E+12,13680,10725,346024,0,4317728995,,10.27046784,-14.45221445,-3.87,31-Jul-24,https://nsearchives.nseindia.com/365d/MARUTI-EQ.svg,01-Jul-25,1.33,709783,-363759,-51.25%
NIFTY 50,0,ADANIPORTS,ADANIPORTSEQN,1371,1375.9,1342.8,1349.8,1373.1,-23.3,-1.7,9.93E+11,1604.95,995.65,1239941,0,1682810727,,15.89769152,-35.56972832,-12.54,31-Jul-24,https://nsearchives.nseindia.com/365d/ADANIPORTS-EQ.svg,01-Jul-25,-5.11,1412892,-172951,-12.24%
NIFTY 50,0,HDFCLIFE,HDFCLIFEEQN,752.55,756.35,740.1,741.95,755.5,-13.55,-1.79,7.93E+11,820.75,584.3,1697685,0,1269359075,,9.600974718,-26.98100291,5.59,31-Jul-24,https://nsearchives.nseindia.com/365d/HDFCLIFE-EQ.svg,01-Jul-25,-6.72,1783473,-85788,-4.81%
NIFTY 50,0,APOLLOHOSP,APOLLOHOSPEQN,7538,7538,7331.5,7360,7498,-138,-1.84,7.42E+11,7635,6001,215243,0,1592253635,,3.601833661,-22.64622563,13.34,31-Jul-24,https://nsearchives.nseindia.com/365d/APOLLOHOSP-EQ.svg,01-Jul-25,0.03,342605,-127362,-37.17%
NIFTY 50,0,INDUSINDBK,INDUSINDBKEQN,792.5,798.65,779.7,783.95,798.9,-14.95,-1.87,5.15E+11,1498,606,4739250,0,3735761205,,47.66688919,-29.36468647,-44.05,31-Jul-24,https://nsearchives.nseindia.com/365d/INDUSINDBK-EQ.svg,01-Jul-25,-9.12,4480429,258821,5.78%
NIFTY 50,0,BHARTIARTL,BHARTIARTLEQN,1914,1919.7,1878,1878.1,1914.3,-36.2,-1.89,5.10E+12,2045.8,1422.6,5192594,0,9847494891,,8.197282237,-32.01883875,28.34,31-Jul-24,https://nsearchives.nseindia.com/365d/BHARTIARTL-EQ.svg,01-Jul-25,-5.2,4674966,517628,11.07%
NIFTY 50,0,TECHM,TECHMEQN,1456.6,1459.8,1432.4,1435.6,1463.7,-28.1,-1.92,9.08E+11,1807.7,1209.4,1620011,0,2336525665,,20.58416773,-18.70348933,-5.84,31-Jul-24,https://nsearchives.nseindia.com/365d/TECHM-EQ.svg,01-Jul-25,-12.42,1382994,237017,17.14%
NIFTY 50,0,JSWSTEEL,JSWSTEELEQN,1054,1054,1023.6,1028,1048.3,-20.3,-1.94,9.73E+11,1074.9,854.15,1604653,0,1656868409,,4.363196576,-20.35356787,12.93,31-Jul-24,https://nsearchives.nseindia.com/365d/JSWSTEEL-EQ.svg,01-Jul-25,1.82,3144726,-1540073,-48.97%
NIFTY 50,0,ONGC,ONGCEQN,240.1,240.71,234.05,236,241,-5,-2.07,9.14E+11,345,205,12629251,0,2985176059,,31.5942029,-15.12195122,-27.89,31-Jul-24,https://nsearchives.nseindia.com/365d/ONGC-EQ.svg,01-Jul-25,-0.97,10254214,2375037,23.16%
NIFTY 50,0,SBILIFE,SBILIFEEQN,1840,1843.3,1788.9,1801.4,1840.7,-39.3,-2.14,8.05E+11,1936,1372.55,559870,0,1014881948,,6.952479339,-31.2447634,4.96,31-Jul-24,https://nsearchives.nseindia.com/365d/SBILIFE-EQ.svg,01-Jul-25,-1.17,1570804,-1010934,-64.36%
NIFTY 50,0,WIPRO,WIPROEQN,246.5,246.9,242.2,242.38,248.3,-5.92,-2.38,6.89E+11,324.6,228,7436999,0,1812545396,,25.32963648,-6.307017544,-52.43,31-Jul-24,https://nsearchives.nseindia.com/365d/WIPRO-EQ.svg,01-Jul-25,-6.14,7338764,98235,1.34%
NIFTY 50,0,SHRIRAMFIN,SHRIRAMFINEQN,630,632,612.25,615.65,630.85,-15.2,-2.41,8.59E+11,730.45,493.35,3528632,0,2193362365,,15.71633924,-24.78970305,-78.48,31-Jul-24,https://nsearchives.nseindia.com/365d/SHRIRAMFIN-EQ.svg,01-Jul-25,-9.42,6481051,-2952419,-45.55%
NIFTY 50,0,TATAMOTORS,TATAMOTORSEQN,667.95,667.95,647,649.7,665.95,-16.25,-2.44,1.35E+12,1176,535.75,12546169,0,8192271972,,44.75340136,-21.26924872,-42.42,31-Jul-24,https://nsearchives.nseindia.com/365d/TATAMOTORS-EQ.svg,01-Jul-25,-2.61,18723710,-6177541,-32.99%
NIFTY 50,0,INFY,INFYEQN,1493.9,1498.7,1465.5,1468.3,1509,-40.7,-2.7,5.27E+12,2006.45,1307,8702978,0,12878579815,,26.82100227,-12.34123948,-19.23,31-Jul-24,https://nsearchives.nseindia.com/365d/INFY-EQ.svg,01-Jul-25,-6.09,6851407,1851571,27.02%
NIFTY 50,0,TATASTEEL,TATASTEELEQN,157.93,157.93,152.51,153,157.94,-4.94,-3.13,1.26E+12,170.18,122.62,23927359,0,3690555852,,10.09519332,-24.7757299,-4.47,31-Jul-24,https://nsearchives.nseindia.com/365d/TATASTEEL-EQ.svg,01-Jul-25,-1.32,26213891,-2286532,-8.72%
NIFTY 50,0,CIPLA,CIPLAEQN,1544,1549.7,1494,1505,1554.6,-49.6,-3.19,8.44E+11,1702.05,1335,2109707,0,3184539425,,11.57721571,-12.7340824,0.67,31-Jul-24,https://nsearchives.nseindia.com/365d/CIPLA-EQ.svg,01-Jul-25,2.57,2457841,-348134,-14.16%
NIFTY 50,0,ADANIENT,ADANIENTEQN,2425,2444.9,2333,2341.5,2430.7,-89.2,-3.67,6.08E+11,3258,2025,976341,0,2330818869,,28.13075506,-15.62962963,-23.31,31-Jul-24,https://nsearchives.nseindia.com/365d/ADANIENT-EQ.svg,01-Jul-25,-7.29,1457616,-481275,-33.02%
NIFTY 50,0,DRREDDY,DRREDDYEQN,1258,1259,1213.7,1221.4,1270.3,-48.9,-3.85,7.42E+11,1421.49,1020,2525210,0,3099947796,,14.0760751,-19.74509804,-81.18,31-Jul-24,https://nsearchives.nseindia.com/365d/DRREDDY-EQ.svg,01-Jul-25,-0.51,1968821,556389,28.26%
NIFTY 50,0,SUNPHARMA,SUNPHARMAEQN,1690,1695,1608,1629.3,1706.7,-77.4,-4.54,1.75E+12,1960.35,1553.05,8774548,0,14332785431,,16.88729053,-4.909693828,-0.74,31-Jul-24,https://nsearchives.nseindia.com/365d/SUNPHARMA-EQ.svg,01-Jul-25,2.37,3233087,5541461,171.40%
NIFTY NEXT 50,1,NIFTY NEXT 50,NIFTY NEXT 50,67119.25,67195.5,66068.45,66192.8,67096.15,-903.35,-1.35,228208502.9,77918,56192.45,190915002,0,1.06E+11,01-08-2025 16:00,15.04812752,-17.79660791,-10.28,31-Jul-24,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,01-Jul-25,-2.66,#N/A,#N/A,#N/A
NIFTY NEXT 50,0,AMBUJACEM,AMBUJACEMEQN,594.85,615.35,588.75,607.9,592.7,15.2,2.56,3.97E+11,686.65,453.05,4599912,0,2782256773,,11.46872497,-34.17945039,-12.83,31-Jul-24,https://nsearchives.nseindia.com/365d/AMBUJACEM-EQ.svg,01-Jul-25,2.15,5782494,-1182582,-20.45%
NIFTY NEXT 50,0,TVSMOTOR,TVSMOTOREQN,2825,2884.1,2799.1,2870,2801.8,68.2,2.43,6.72E+11,2960.3,2171.4,2512045,0,7148626938,,3.050366517,-32.17279175,10.7,31-Jul-24,https://nsearchives.nseindia.com/365d/TVSMOTOR-EQ.svg,01-Jul-25,-3.17,1287444,1224601,95.12%
NIFTY NEXT 50,0,DABUR,DABUREQN,533,547.7,531.9,536.35,529,7.35,1.39,3.15E+11,672,433.3,8042006,0,4337134256,,20.1860119,-23.78259866,-16.78,31-Jul-24,https://nsearchives.nseindia.com/365d/DABUR-EQ.svg,01-Jul-25,9.66,3024718,5017288,165.88%
NIFTY NEXT 50,0,HYUNDAI,HYUNDAIEQN,2153,2200,2144.8,2175,2151.8,23.2,1.08,3.09E+11,2265.3,1541.7,647228,0,1410037976,,3.98622699,-41.07803075,-,-,-,01-Jul-25,-3.97,845705,-198477,-23.47%
NIFTY NEXT 50,0,BRITANNIA,BRITANNIAEQN,5799.5,5899,5776.5,5810.5,5771,39.5,0.68,6.83E+11,6469.9,4506,244870,0,1430491361,,10.19181131,-28.9502885,-0.23,31-Jul-24,https://nsearchives.nseindia.com/365d/BRITANNIA-EQ.svg,01-Jul-25,0.48,344973,-100103,-29.02%
NIFTY NEXT 50,0,INDHOTEL,INDHOTELEQN,741.5,750.15,738.3,742,740.75,1.25,0.17,6.50E+11,894.9,595,2426975,0,1809285593,,17.0857079,-24.70588235,15.37,31-Jul-24,https://nsearchives.nseindia.com/365d/INDHOTEL-EQ.svg,01-Jul-25,-2.8,2395448,31527,1.32%
NIFTY NEXT 50,0,GODREJCP,GODREJCPEQN,1270,1290,1257.1,1260,1259,1,0.08,5.06E+11,1541.85,979.5,1565728,0,1992498481,,18.27998833,-28.63705972,-12.61,31-Jul-24,https://nsearchives.nseindia.com/365d/GODREJCP-EQ.svg,01-Jul-25,7.74,1600452,-34724,-2.17%
NIFTY NEXT 50,0,JSWENERGY,JSWENERGYEQN,530,533.9,509.4,515,515.05,-0.05,-0.01,2.75E+11,804.9,418.75,12369442,0,6428151619,,36.01689651,-22.98507463,-29.25,31-Jul-24,https://nsearchives.nseindia.com/365d/JSWENERGY-EQ.svg,01-Jul-25,-2.3,1946308,10423134,535.53%
NIFTY NEXT 50,0,VEDL,VEDLEQN,425.1,431,422.35,424.05,425.65,-1.6,-0.38,7.17E+11,526.95,363,4291007,0,1829985755,,19.5274694,-16.81818182,-5.57,31-Jul-24,https://nsearchives.nseindia.com/365d/VEDL-EQ.svg,01-Jul-25,-8.64,7762131,-3471124,-44.72%
NIFTY NEXT 50,0,RECLTD,RECLTDEQN,392.5,392.95,385.2,388.75,395.2,-1.85,-0.47,4.84E+11,648.25,357.35,9859016,0,3838509289,,40.03085229,-8.786903596,-38.66,31-Jul-24,https://nsearchives.nseindia.com/365d/RECLTD-EQ.svg,01-Jul-25,-1.31,7169233,2689783,37.52%
NIFTY NEXT 50,0,SHREECEM,SHREECEMEQN,30990,31035,30540,30650,30810,-160,-0.52,4.09E+11,32490,23500,29448,0,904791861.4,,5.66328101,-30.42553191,11.07,31-Jul-24,https://nsearchives.nseindia.com/365d/SHREECEM-EQ.svg,01-Jul-25,-1.2,15010,14438,96.19%
NIFTY NEXT 50,0,PIDILITIND,PIDILITINDEQN,2860,2885,2851,2852.1,2869.8,-17.7,-0.62,4.39E+11,3415,2622.2,204783,0,587706731.7,,16.48316252,-8.767447182,-9.94,31-Jul-24,https://nsearchives.nseindia.com/365d/PIDILITIND-EQ.svg,01-Jul-25,-5.78,188978,15805,8.36%
NIFTY NEXT 50,0,BOSCHLTD,BOSCHLTDEQN,40375,40730,40105,40115,40385,-270,-0.67,3.47E+11,40730,25921.6,59925,0,2424933440,,1.509943531,-54.75510771,15.46,31-Jul-24,https://nsearchives.nseindia.com/365d/BOSCHLTD-EQ.svg,01-Jul-25,24.97,46071,13854,30.07%
NIFTY NEXT 50,0,IRFC,IRFCEQN,128.34,129.07,126.37,127.42,128.34,-0.92,-0.72,2.27E+11,196.35,108.04,8796099,0,1124141452,,35.10567864,-17.93780081,-33.73,31-Jul-24,https://nsearchives.nseindia.com/365d/IRFC-EQ.svg,01-Jul-25,-9.3,11606740,-2810641,-24.22%
NIFTY NEXT 50,0,UNITDSPR,UNITDSPREQN,1336,1337.4,1316.5,1321.5,1340.2,-10.7,-0.8,3.89E+11,1700,1271.1,1209840,0,1600509434,,22.26470588,-3.965069625,-5.17,31-Jul-24,https://nsearchives.nseindia.com/365d/UNITDSPR-EQ.svg,01-Jul-25,-4.3,1486378,-276538,-18.60%
NIFTY NEXT 50,0,ADANIGREEN,ADANIGREENEQN,988.8,1007.65,968,976.55,984.7,-8.15,-0.83,2.99E+11,2091,758,1800185,0,1780490976,,53.29746533,-28.83245383,-46.69,31-Jul-24,https://nsearchives.nseindia.com/365d/ADANIGREEN-EQ.svg,01-Jul-25,-3.05,2062250,-262065,-12.71%
NIFTY NEXT 50,0,BAJAJHFL,BAJAJHFLEQN,114,114.25,112.6,112.9,113.87,-0.97,-0.85,1.05E+11,188.5,103.1,3511376,0,397874014.6,,40.1061008,-9.505334627,-,-,-,01-Jul-25,-6.31,4112735,-601359,-14.62%
NIFTY NEXT 50,0,DLF,DLFEQN,782.65,795.8,775,777,784.25,-7.25,-0.92,4.97E+11,929,601.2,2572230,0,2017734379,,16.36167922,-29.24151697,-11.8,31-Jul-24,https://nsearchives.nseindia.com/365d/DLF-EQ.svg,01-Jul-25,-7.02,2252239,319991,14.21%
NIFTY NEXT 50,0,SIEMENS,SIEMENSEQN,3050,3050,2998,3004.9,3033.4,-28.5,-0.94,2.65E+11,8129.9,2450,281885,0,851760629.1,,63.03890577,-22.64897959,-57.47,31-Jul-24,https://nsearchives.nseindia.com/365d/SIEMENS-EQ.svg,01-Jul-25,-8.72,299015,-17130,-5.73%
NIFTY NEXT 50,0,LICI,LICIEQN,895,900.25,881.7,885.2,895,-9.8,-1.09,1.96E+11,1222,715.3,882601,0,783449603.7,,27.5613748,-23.75227177,-23.9,31-Jul-24,https://nsearchives.nseindia.com/365d/LICI-EQ.svg,01-Jul-25,-7.82,583642,298959,51.22%
NIFTY NEXT 50,0,BAJAJHLDNG,BAJAJHLDNGEQN,13975,14034,13781,13800,13963,-163,-1.17,5.96E+11,14740,9078.85,21385,0,297744638.1,,6.377204885,-52.00163016,45.15,31-Jul-24,https://nsearchives.nseindia.com/365d/BAJAJHLDNG-EQ.svg,01-Jul-25,-2.64,27343,-5958,-21.79%
NIFTY NEXT 50,0,DMART,DMARTEQN,4267.9,4310,4175,4216.6,4267.4,-50.8,-1.19,6.19E+11,5484.85,3340,351617,0,1490205589,,23.12278367,-26.24550898,-13.54,31-Jul-24,https://nsearchives.nseindia.com/365d/DMART-EQ.svg,01-Jul-25,-4.16,1085879,-734262,-67.62%
NIFTY NEXT 50,0,BANKBARODA,BANKBARODAEQN,237.74,238.61,234.55,235,237.87,-2.87,-1.21,4.34E+11,266.95,190.7,4770791,0,1130200388,,11.96853343,-23.23020451,-6.22,31-Jul-24,https://nsearchives.nseindia.com/365d/BANKBARODA-EQ.svg,01-Jul-25,-3.91,5770571,-999780,-17.33%
NIFTY NEXT 50,0,CANBK,CANBKEQN,107.25,107.4,105.75,105.9,107.25,-1.35,-1.26,3.56E+11,119.3,78.6,13286442,0,1416068988,,11.23218776,-34.73282443,-6.5,31-Jul-24,https://nsearchives.nseindia.com/365d/CANBK-EQ.svg,01-Jul-25,-7.08,48203474,-34917032,-72.44%
NIFTY NEXT 50,0,CGPOWER,CGPOWEREQN,662.05,665.9,649.55,652.3,661.7,-9.4,-1.42,4.29E+11,874.7,517.7,2579602,0,1694153614,,25.42586029,-25.99961368,-10.1,31-Jul-24,https://nsearchives.nseindia.com/365d/CGPOWER-EQ.svg,01-Jul-25,-3.13,1943822,635780,32.71%
NIFTY NEXT 50,0,HAVELLS,HAVELLSEQN,1500.6,1501.4,1476,1479,1500.6,-21.6,-1.44,3.72E+11,2106,1381.3,721140,0,1073763037,,29.77207977,-7.07304713,-18.88,31-Jul-24,https://nsearchives.nseindia.com/365d/HAVELLS-EQ.svg,01-Jul-25,-3.06,705250,15890,2.25%
NIFTY NEXT 50,0,CHOLAFIN,CHOLAFINEQN,1442.5,1481.9,1404,1420.5,1443.2,-22.7,-1.57,5.97E+11,1684.4,1168,4717925,0,6771071602,,15.66729993,-21.61815068,1.88,31-Jul-24,https://nsearchives.nseindia.com/365d/CHOLAFIN-EQ.svg,01-Jul-25,-9.79,6484530,-1766605,-27.24%
NIFTY NEXT 50,0,PFC,PFCEQN,408.1,409.2,403,403.25,409.95,-6.7,-1.63,5.86E+11,566.4,357.25,2424645,0,985109017.1,,28.80473164,-12.87613716,-26.37,31-Jul-24,https://nsearchives.nseindia.com/365d/PFC-EQ.svg,01-Jul-25,-3.23,3924392,-1499747,-38.22%
NIFTY NEXT 50,0,MOTHERSON,MOTHERSONEQN,97.17,97.99,95.31,95.5,97.17,-1.67,-1.72,4.21E+11,144.66,71.5,6424969,0,618853014.1,,33.98313286,-33.56643357,-50.57,31-Jul-24,https://nsearchives.nseindia.com/365d/MOTHERSON-EQ.svg,01-Jul-25,-36.14,17246210,-10821241,-62.75%
NIFTY NEXT 50,0,VBL,VBLEQN,522.6,524.2,510.1,512.7,522.6,-9.4,-1.8,6.85E+11,668,419.55,4418258,0,2277037625,,23.24850299,-22.20235967,-66.87,31-Jul-24,https://nsearchives.nseindia.com/365d/VBL-EQ.svg,01-Jul-25,15.72,6593398,-2175140,-32.99%
NIFTY NEXT 50,0,NAUKRI,NAUKRIEQN,1395,1399.9,1364.2,1366.9,1392.3,-25.4,-1.82,5.29E+11,1825.78,1157,432220,0,596787765,,25.13336766,-18.14174589,-80.19,31-Jul-24,https://nsearchives.nseindia.com/365d/NAUKRI-EQ.svg,01-Jul-25,-3.95,1082367,-650147,-60.07%
